doc_id,category,text
rec_sport_baseball_004,rec.sport.baseball,"Dave Winfield's name does not go



       In terms of PEAK, and I repeat PEAK years, Winfield has Done it  
all. He has batted in the 340's for a season, drove in 100 and more runs  
many times in a row before his injury. Consistently hit at or near 300  
while knocking in 35 home runs. Have you even LOOKED at Dave Winfield's  
slugging percentage for three or 4 of his best seasons. I still think that  
dave was one of the BETTER of all time, but obviously not the best. He was  
one of the best athletes evr to play baseball. He hit line drives that hit  
the scoreboard in left-center field, a feat np one has done in the new  
Stadium. Heck, only 2 or 3 other people have hit it over that green fence  
since it has been remodeled. He could field, had a bullet arm, and his  
hitting was comparable in many seasons to gary sheffields, and barry bonds  
of last season. He is older now, and slowing down, takes more of an  
uppercut to lift the ball out of the park, but he will always be my hero,  
and my idol. There is nothing that could make me happier than George  
inviting Dave back to the Bronx to play his last year of ball with the  
Yankees. Of course, he will most likely refuse the offer, but who knows?  
For 3 million dollars, he'll play. Heck they are giving gallego 2.5  
million this year, having Dave as their DH, while leaving him time to play  
the field when Tartabull is injured, or Nokes and mass are traded, should  
give the Yanks the inspiration and leadership that will sweep in a new age  
of Yankee domination."
talk_politics_misc_007,talk.politics.misc,
sci_med_002,sci.med,": A very simple question : it seems to me that the contraceptive
: pill just prevents the ovule to nest in the vagina and forces it to
: fall every month. But it does not prevent the fertilzation of the 
: ovule. Is it true ? If yes, is there a risk of extra-uterine
: pregnancy, that is the development of the ovule inside the Fallopian
: tube ?

Actually that is not how the pill works, but it *is* how the IUD works.
The oral contraceptive pill actually *prevents* ovulation from occuring
by providing negatve feedback to the pituitary gland, and thus preventing
the LH surge that normally occurs at the time of ovulation.  With the IUD
what happens is that fertilization may occur, but the device prevents
implantation within the wall of the uterus (*not* the vagina)."
sci_med_003,sci.med,"- Am I justified in being pissed off at this doctor?
- 
- Last Saturday evening my 6 year old son cut his finger badly with a knife.
- I took him to a local ""Urgent and General Care"" clinic at 5:50 pm.  The 

	[story deleted]

- be bothered.  My son did get three stitches at the emergency room.  I'm still 
- trying to find out who is in charge of that clinic so I can write them a 
- letter.   We will certainly never set foot in that clinic again.
- 

The people in charge already know what kind of 'care' they are 
providing, and they don't give a rat's ass about your repeat business.

You are much more likely to do some good writing to local newspapers,
and broadcast news shows.  If you do, keep the letter short and to the point
so they don't discard it out of hand, and emphasize exactly what you
are upset about.

It's possible that the local health department can help you complain to 
someone official, but really, that 'clinic' exists for the sole purpose 
of generating walk-in income through advertising, and *nothing* you can do 
will change them -- all you can hope for is to help someone else avoid them.

I'm glad it sounds like your son did ok, anyway."
sci_med_004,sci.med,"By law, they would not be allowed to do that anyhow.




-- 
----------------------------------------------------------------------------
Gordon Banks  N3JXP      | ""Skepticism is the chastity of the intellect, and
geb@cadre.dsl.pitt.edu   |  it is shameful to surrender it too soon."""
sci_med_005,sci.med,"I sometimes wonder if Kekule's dream wasn't just a wee bit influenced by
aromatic solvent vapors ;-) heh heh."
talk_politics_misc_008,talk.politics.misc,"It's not what they did that matters.  It's what *you* do and
what *I* do and what *we* do in response that matters.  Do we
lessen ourselves by killing in response to killing?  It's
vengeance.  That's all.  It's no deterrent.  It serves no
purpose but to slake somebody's blood lust.


Yeah yeah yeah... and sure would be nice if we didn't apply the
death penalty disproportionately to minorities.  I'll revisit my
opinion on the death penalty when there are more whites up for
it than blacks.  I.e., when hell freezes over."
sci_med_006,sci.med,":Is erythromycin effective in treating pneumonia?
:
:-fm


Not only is it effective, it is in fact the drug of choice for
uncomplicated cases of community-acquired penumonia."
rec_sport_baseball_005,rec.sport.baseball,
sci_med_007,sci.med,"Larry:

The subject content IS serious; as is the question.

On one hand you state that ""things have changed dramatically"" but, at the
same time nothing you ""can think of has changed"".  Your girlfriend seems
to want to see a counselor, but you don't.  

I'd recommend that you examine your hesitation to see a counselor.  It's
a very good environment to examine issues.  

The fact of the matter is:  your girlfriend has a different perception than
you.  The TWO of you need to address the issue in order to resolve it.

Please consider going to a counselor with your girlfriend.  What could it
possibly hurt?"
rec_sport_baseball_006,rec.sport.baseball,"Since someone brought up sports radio, howabout sportswriting???

(Anyone give an opinion) 

Which city do you think has the best sports coverage in terms of
print media? 

(these are general questions) 

Is the Washington Post better than the Philadelphia Inquier or the NY
Times?  

Howabout the Philadelphia Daily News compared to the New York Daily
News?"
talk_politics_misc_009,talk.politics.misc,"# 	Actually, I was rather surprised to see an article on this subject
# (i.e. the ""new, inproved"" survey saying that roughly 1% of men are gay)
# on the front page of The New York _Times_ recently (I think it was
# on Thurs, 15 April).  The headline was something to the effect of 
# ""New Survey Finds 1% of Men Are Gay""
# 
# 	I was shocked, not because the New York _Times_ was running a story
# on a sex survey (although that was part of it), but because they thought
# that this news was actually important enough to warrant front page space.
# I mean, how many people actually CARE how many people are gay (as long as
# you know how to find/avoid them if you want to)?  I don't.  

If you don't care, why was so much effort put into promoting the
10% lie?  Because it was important to scare politicians into
obedience.

# 							-Matt"
rec_sport_baseball_007,rec.sport.baseball,"[snip]
[stats deleted - we've all seen them by now]

I nominate this last bit for ""Anti-Stathead Quote of the Week"".

Alomar only has a 50 point advantage in the most important offensive
category, while Baerga, who studied in the Joe Carter School of Out-Burning,
has more impressive mediot stats, largely due to opportunities rather
than quality.

The lines are fairly close in value, but edge to Alomar.

Now Baerga ain't chopped liver, but Alomar is still the man to beat among
AL second basemen...

--Craig"
talk_politics_misc_010,talk.politics.misc,"rites:
,
n

But drive UP to Cleveland and it is about 10,000 times better.  I from Toledo 
originally (but that place always as sucked as long as I've been on the planet.


Republicans have been trying to pass a balanced budget amendment for the last 
ten years.


Because for a while, the American companies couln't even compete in THEIR OWN 
COUNTRY, where free trade isn't even an issue.  However, even the automobile
pendelum has swung back to the Big 3.


Oh, I don't know.  It's probably in the tens of thousands."
rec_sport_baseball_008,rec.sport.baseball,"[...]


According to the Defensive Average stats posted by Sherri, Baerga had the
highest percentage of DPs turned in the league, while Alomar had the worst.
However, Alomar had a higher Defensive Average.  So who would be better?

Using Alomar's opportunities (469 groundballs, 73 possible double plays)
Alomar had 332 groundouts and turned 18 DPs.
Baerga would have had (with same DA & DP%) 328 groundouts and 35 DPs.

Using Baerga's opportunites (545 groundballs, 99 possible double plays).
Alomar would have had (with the same DA & DP%) 386 groundouts and 25 DPs.
Baerga had 381 groundouts and 47 DPs.

Baerga looks better, though it's possible his DP% would be lower with a 
different SS.

Will Baerga consistently turn twice as many double plays, however?  Alomar
has established a high level of defense, Baerga has not.  I would bet on
Alomar to be better next year, but last year Baerga was just as good overall.
-- 
Dale J. Stephenson |*| (steph@cs.uiuc.edu) |*| Grad Student At Large"
talk_politics_misc_011,talk.politics.misc,"(NOTE: cross-posted to alt.politics.italy and talk.politics.misc
 This is a reply to an article by Ed Ipser which also appeared in
 alt.politics.usa.misc and alt.politics.libertarian, but no longer belongs)


I hate to defend Ed (the article was very poorly written) but here goes:


Italy's per-capita debt is much higher than USA's.



This is *exactly* what the public in France & Italy perceive to be the
problem-- thus the French election and Italian pulizia.


Regarding the post-pulizia Italy:

Wrong.  This is true perhaps only for the Lega Nord.
The referendum Sunday is expected to establish a British/American style
first-past-the-post system in the Senate.  If implemented, it would
encourage a two- (or perhaps three-) party system in Italy.
Most likely the DC and PSI will not be these parties; rather there will
be a shakeup of the entire party structure from which 2 new parties
will emerge to dominate.  Will Lega Nord be one of these?  Who knows.

(The Camera dei Deputati (lower house) will likely remain with
Proportional Representation for a while, but there is talk of switching a
portion of that house, too. Maybe as much as 40% first-past-the-post)

Overall, the electoral reform in Italy is a welcome change.  Italians
are tired of having crappy government.  Porn stars, Pavarotti's and
Hunters & Fishers won't gain seats because PR is dead.  A good two-party
system will bring Italy efficient, accountable government.

It's about time."
talk_politics_misc_012,talk.politics.misc,"Exsqueeze me?  I saw *your* original post in alt.discrimination.
Your post was cross-posted to three groups.  My followup was cross-posted
to two of those three (omitting soc.motss).

Now, instead of engaging in meta-discussion off the topic, could you answer 
the question posed?  If your statement is so ""beign""(!?), you should have no
trouble politely responding to a polite query."
sci_med_008,sci.med,"I need advice with a situation which occurred between me and a physican
which upset me.  I saw this doctor for a problem with recurring pain.
He suggested medication and a course of treatment, and told me that I
need to call him 7 days after I begin the medication so that he may
monitor its effectiveness, as well as my general health.

I did exactly as he asked, and made the call (reaching his secretary).
I explained to her that I was following up at the doctor's request,
and that I was worried because the pain episodes were becoming more
frequent and the medication did not seem effective.

The doctor called me back, and his first words were, ""Whatever you want,
you'd better make it quick.  I'm very busy and don't have time to chit-
chat with you!""  I told him I was simply following his instructions to
call on the 7th day to status him, and that I was feeling worse.  I 
then asked if perhaps there was a better time for us to talk when he
had more time.  He responded, ""Just spit it out now because no time is
a good time.""  (Said in a raised voice.)  I started to feel upset and
tried to explain quickly what was going on with my condition but my
nervousness interfered with my choice of words and I kind of stuttered
and then said ""well, never mind"" and he said he'll talk to various
colleagues about other medications and he'll call me some other time.

This doctor called me that evening and said because I didn't express
myself well, he was confused about what I wanted.  At this point I
was pretty upset and I told him (in an amazingly polite voice considering
how angry I felt) that his earlier manner had hurt my feelings.  He told
me that he just doesn't have time to ""rap with patients"" and thought
that was what I wanted.  I told him that to assume I was calling to
""rap"" was insulting, and said again that I was just following through
on his orders.  He responded that he resented the implication that he 
felt I was making that he was not interested in learning about what his
patients have to say about their condition status.  He then gave me
this apology: ""I am sorry that there was a miscommunication and you
mistakenly thought I was insulting.  I am not trying to insult you
but I am not that knowledgeable about pain, and I don't have a lot of
time to deal with that.""  He then told me to call him the next day
for further instructions on how do deal with my pain and medication.

I am still upset and have not yet called.

My questions: (1) Should I continue to have this doctor manage my care?
(2) Since I am in pain off and on, I realize that this may cause me to
be more anxietous so am I perhaps over-reacting or overly sensitive?
If this doctor refers me to his colleague who knows more about the type
of pain I have, he still wants me to status him on my condition but
now I am afraid to call him."
sci_med_009,sci.med,"Short of changes by the feds, there is no way.  Codeine alone is very
difficult to prescribe without a lot of hassles.  Tylenol #3 is the
best compromise.  That way he can get refills.  The amount of acetominophen
he is getting with his codeine won't hurt him any.

-- 
----------------------------------------------------------------------------
Gordon Banks  N3JXP      | ""Skepticism is the chastity of the intellect, and
geb@cadre.dsl.pitt.edu   |  it is shameful to surrender it too soon."""
rec_sport_baseball_009,rec.sport.baseball,"So what does that have to do with RBI's?  The team with the most RBI's
doesn't necessarily win the game.

Yes, runs are the most important statistice -- for a *team*.  (So why does
every newspaper rank team offense by batting average?)

But for an individual player, runs and RBIs are context-dependent, and tell
us very little about the player himself, and more about his teammates and
position in the batting order."
sci_med_010,sci.med,"Speaking of which, has anyone else been impressed with how much the 
descriptions of neurasthenia published a century ago sound like CFS?

-- 
----------------------------------------------------------------------------
Gordon Banks  N3JXP      | ""Skepticism is the chastity of the intellect, and
geb@cadre.dsl.pitt.edu   |  it is shameful to surrender it too soon."""
rec_sport_baseball_010,rec.sport.baseball,"Whatever you say.  I think it's just 12 games into the season myself, so
I'm going to wait a bit before calling names.


I expect that Dave Otto will be a really bad pitcher, and I have no
idea why Simmons ever wanted him.  On the other hand, I expect him to
release Otto if he doesn't turn things around pretty fast.  (BTW,
Otto's game score for that 0 IP stinker was only 22, which points out
a problem with the method since Otto's performance was infinitely bad,
and excruciatingly prolonged.)


I think Merced's rookie year was a bit flukey, but aren't you willing to
give him some more at bats (and Tomlin a few more starts) before acting
so gloomy?


No he didn't.  Walk is a time bomb.  He has no stuff whatsoever, and when
the league finally realizes this, it won't be pretty at all.


Don't be so fast.  Doughty is the guy who signed Steve Buechele, which
was a move that threatened to bury Kevin Young in the minors.
Meanwhile, I'm not sure whether Doughty or Simmons signed Martin as a
six-year free agent before the 1992 season.


Twice through the rotation, and you've given up?  Yikes.


But so has his age, at least in baseball terms.  The useful half-life
of a 34- year-old injury-prone catcher can't be much longer than a year.


But he wanted to be a Dodger, and felt he had something to prove after his
disastrous 1992.  I don't think there was any chance for the Bucs to sign
him.


He certainly wasn't last year.


Hey, that's the ""Skates Smith"" package deal.  Anybody who acquires
Lonnie for his defense or base-running (particularly at this stage) is
a real weirdo.


If that's the goal of the team ownership, than I don't see why Sauer
gets a zero for making his boss happy.  I don't know what he has or
hasn't said about revenue sharing, so I can't comment there.


It's annoying, but since Leyland seems to have been pushing for them
to retain Jeff King, it was probably unavoidable.  Meanwhile, I think
bigger accomplishments of Simmons' tenure were getting some value for
John Smiley, not trading real prospects for veterans down the stretch
last year, drafting well in 1992, letting the rookies show something
in 1993.  Foley, Smith, and Candelaria were acquired to be replacement
parts, which means that even if fail it hasn't done serious damage to
the Bucs' future.


Does this mean that the Bucs lost the initial arbitration case?  I
never heard the outcome of this.  When will the final verdict be in on
this?


I'm not sure who was the idiot in this case, so I don't know who to
blame.  It might have been Doug Danforth, after all.  In fact, I
*seriously* suspect it was Doug Danforth, who has shown his
willingness to call the shots at exactly those moments when the gun is
pointed at his feet.

(btw--I've wondered whether my latest posts have been getting
off-site, so if somebody known to impersonate e.e. cummings can see
this, would he drop me a short note?)"
sci_med_011,sci.med,"I have heard that epileptic patients go into seizures if they
eat anything with MSG added.  This may have something to do with
the excitotoxicity of neurons."
rec_sport_baseball_011,rec.sport.baseball,"Lowenstein is NOT Jewish.  However, there is a long list including
Hank Greenberg, Moe Berg, Rod Carew (a convert), the Sherry brothers,
Art Shamsky, and Ron Blomberg."
talk_politics_misc_013,talk.politics.misc,"I suppose ALL media want something to happen, otherwise what would
	they report: that's their job. (duhhh to me!)

	But it's not so much surprising that they want a riot as it is amazing
	how they carry that desire across in not so subtle ways (at least to
	me...)

carlos."
rec_sport_baseball_012,rec.sport.baseball,"Oh, this is an easy trivia question.  The answer is ""any Cub not named
Sandberg or Grace."""
talk_politics_misc_014,talk.politics.misc,"Agreed.  We need more folks to admit they're bi.

-- 
Michael D. Adams	(starowl@a2i.rahul.net)	  Champaign, IL / southeast AL"
sci_med_012,sci.med,"If you can get it, you might want to try a Canadian over-the-counter product
called Secaris, which is a water-soluble gel.  Compared to Vaseline or other
greasy ointments, Secaris seems more compatible with the moisture that's
already there."
sci_med_013,sci.med,"Hello,  I am not sure if this is the right conference to ask this
question, however, Here I go..  I am a commercial fisherman and I 
fell about 3 weeks ago down into the hold of the boat and broke or
cracked a rib and wrenched and bruised my back and left arm.
  My question,  I have been to a doctor and was told that it was 
best to do nothing and it would heal up with no long term effect, and 
indeed I am about 60 % better, however, the work I do is very 
hard and I am still not able to go back to work.  The thing that worries me
is the movement or ""clunking"" I feel and hear back there when I move 
certain ways...  I heard some one talking about the rib they broke 
years ago and that it still bothers them.ÿ.  any opinions?
thanx and cheers"
sci_med_014,sci.med,"Nothing unisual.
Quote:
""
Chinese Restaurant Syndrome (CRS):
a transient syndrome, associated with arterial dilatation, due to ingestion
of monosodium glutamate, which is used liberally in seasoning chinese
food; it is characterized by throbbing of the head, lightheadedness,
tightness of the jaw, neck and shoulders, and bachache.
""
End quote.
Source: Dorland's Illustrated Medical Dictionary, 27th edition, 1988, W.B. Saunders, p 1632.

This was known long ago.  Brain produces and uses some MSG naturally,
but not in doses it is served at some chinese places. 
Having said that, i might add, that in MHO, MSG does not enhance
flavor enoughf for me to miss it.  When I go to chinese places,
I order food without MSG.  Goos places will do it for you.
A prerequisite for such a service would be a waiter, capable of
understanding, what you want.


Good Luck.


am"
sci_med_015,sci.med,"For those of you interested in the above Procedure, I am able to add the
following facts:

1) This Procedure is not done in Philadelphia.

2) It is performed in Maryland at Johns Hopkins for corrections between
   0 and -5 and from -10 to -20 (diopters, I think are the units).

3) It is performed in New York City at Manhattan Eye and Ear for corrections
   between 0 and -6.

The magic words to use when requesting information on this is not PRK (they
think you mean RK) but the excimer laser study (or protocol). This will get 
you to the proper people."
rec_sport_baseball_013,rec.sport.baseball,"Yeah Valentine, how many rings does Clemens have? 

Nothin' like good old fashioned Canadian logic...

BTW: The only good thing I can say about the Jay's rotation this year
is that it could have been worse.  Stewart might have stayed healthy.














--"
sci_med_016,sci.med,"You may also want to buy a 'self injector' or something like that.
My friend is diabetic.  You load the hyperdermic, put it in a plastic case
and set a spring to automatically push the needle into the skin and depress
the plunger.


~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
Live From New York, It's SATURDAY NIGHT..."
rec_sport_baseball_014,rec.sport.baseball,"ATTN: Those who live inthe Philadelphia Metro area...

Back in September I was listening to WIP, and I remember the morning
guys were talking with Mayor Ed Rendell.  The topic of conversation
was a new ball park for the Phillies.  The location for this new park
was suggested to be near 30th St Station.  At the time, the mayor was
optimisitic that in the future this could become a reality.  Has
there been any new news on this subject or is it still a pipe dream?
I know the city of Philadelphia has other projects ahead, such as the
new convention center and the upcoming Spectrum II.  But it would be
nice to see this a reality.  It is planned that the Phillies leave
the VET and leave it solely to the Eagles (and if that's the case,
the Eagles should make the VET a grass stadium, but that's another
story).  I want to see that day!"
talk_politics_misc_015,talk.politics.misc,"Excellently put!

Even as a libertarian, I have to admit government does do some things I
like.  There is a beautiful performing arts complex in Ft.  Lauderdale
that was partially built with tax dollars (I don't know how much was
private and how much was stolen, I mean public) but it is beautiful and
I enjoy it.  (Keep in mind, though, most of the people in the city will
never attend a single performance there, so they might feel differently
about having to help pay for it.)

However, I have to disagree about it being desireable or efficient to
give government intervention-power on a case-by-case basis.  In fact,
we have a lot better luck maintaining our freedom of speech precisely
because it is not decided on a case-by-case basis as much as other
issues.  Judges decide whether political speech is allowed on the
sidewalk in front of the post office.  They do not try to decide just
whether pro-nazi, pro-choice, pro-life, or pro-tax political speech
should be allowed on the sidewalk in front of the post office.  You can
imagine the result if right to free speech was decided by the majority
on a case-by-case basis.

Not so with economic issues.  Government does tell taxi-drivers exactly
what they can charge, but not the bus lines or the lawyers.

Just as it is not desireable to decide rights of free speech on a
case-by-case basis, we should not decide rights to free enterprise on a
case-by-case basis.

There is hope that a government can be restricted from interferring with
free enterprise.  But there is no hope, in my opinion, of having a
government that interferes with free enterprise in an ""efficient""
manner; I call it political market failure.

Thus, if you value freedom and the abundance it produces, you have to
swallow the ""whole libertarian agenda."""
